File,Total_Unstranded,Total_Forward,Total_Reverse,Strandness
HKB0752_3000.ReadsPerGene.out.tab,53477692,1218963,53867391,Reverse-strand-specific
HKB0752_3001.ReadsPerGene.out.tab,24860899,644499,24992483,Reverse-strand-specific
